Name Something People Forget To Do When In a Hurry To Leave The House.,Lock The Door,Turn Off The Lights,Grab Keys,Brush Teeth
"Instead Of Playing With Their Gift, Which Packaging Item Might A Toddler Choose To Play With Instead.",Box,Wrapping Paper,Bow,Bubble Wrap
Name Something A Kid Might Want Help Doing On A Snowy Day.,Shoveling,Building A Snowman,Walking,Bundling Up
What Might Parents Be Caught Doing That Causes Their Kid To Bust Them For Doing Santa’s Job?,Set Gifts Under Tree,Wrapping Gifts,Eating Cookies,Buying/Hiding Gifts
Name A State That You’d Hate To Live In During Summer,Florida,Arizona,Texas,California
Name Something That Breaks Easily Without Its Case.,Glasses,CD,Musical Instrument,Camera
Name Something That Comes With A Hood,Coat,Car,Sweatshirt,Cape
"Name Something A Parent Tries, To Get Their Baby To Sleep.",Singing,Rocking,Warm Milk,Car Ride
"Name Something That’s Legal For A Police Officer To Do, But Not For Anyone Else",Speed,Arrest Someone,Run Red Lights,Carry/ Use Gun
Name Something That Often Looks Better In Advertised Pictures Than In Real Life.,Food,Clothes,People,Cars
"Name An Animal Whose Print Looks Natural On Them, But Gaudy When Your Neighbor Wears It",Leopard,Zebra,Tiger,Cheetah
Name Something You Only Consume When You Go To A Fast Food Restaurant.,French Fries,Burger,Milkshake,Chicken Nuggets
Name The Person Who You Most Try To Avoid Having An Argument With.,Partner,Parent,Boss,Child
Name A Safety Device That Older Cars Didn’t Have,Air Bags,Seat Belts,Anti Lock Break,Child Locks
Name An Occupation That People Consider Caring,Nurse,Doctor,Teacher,Childcare Provider
Name A Place You Visit Where You Aren’t Allowed To Touch Anything.,Museum/Gallery,Zoo,Gentleman’s Club,China Shop
We Asked 100 Women: Name A Gift That You’d Always Be Happy To Get From Your Partner.,Flowers,Jewelry,Money,Chocolate
"Name A Gift That Would Be Romantic To Get From Your Husband, But Creepy To Get From Your Father-In_Law.",Lingerie,Flowers,Jewelry,Chocolates
What Is The Most Important Thing To Do When Planning A Valentine’s Day Date?,Get Flowers,Make Reservations,Buy Gift,Choose The Place
Tell Me A Way To Say Hi In Another Language,Hola,Bonjour,Aloha,Ciao
Name An Item You Associate With The Word Expensive,Car,Jewelry,House,Clothes
In Which Profession Might You Have A Large Assortment of Wigs?,Actor,Hair Stylist,Model,Clown
Name Something You Mix With Water Before Drinking,Kool Aid,Tea,Juice Concentrate,Coffee
Name Something Provided In Some Waiting Rooms To Help Pass The Time,Reading Material,TV,Music,Coffee
Name A Holiday That Most People Don’t Get Off From Work.,President’s Day,Martin Luther King,Valentine’s Day,Columbus Day
How Do You Know That You’re Tuned Into A Country Radio Station?,Instruments,Announcer’s Voice,Sad Songs,Commercials
Name Something Some People Blast The Volume On,Stereo,TV,Headset,Computer
Name Something Of Dad’s That Kids Aren’t Allowed To Use,Car,Tools,Razor,Computer
Name Something A Losing Sports Team Does To The Winners To Show Good Sportsmanship,Shake Hands,High Five,Clap,Congratulate
Name A Place In The Car Where People Hide Their Valuables.,Glove Box,Trunk,Under Seat,Console
Name Something That Can Be Inconvenient To Do While Camping.,Use Bathroom,Bathe,Sleep,Cook
Name Something Parents Warn Their Children Not To Get Their Fingers Caught In.,Door,Fan,Outlet,Cookie Jar
Name Something A Fast Food Restaurant Offers As A Dessert,Ice Cream,Pie,Cake,Cookies
"Instead Of Money, What Might Santa Give His Reindeer As Pay?",Carrots,Presents,Deer Feed,Cookies
"If A Person Is Raised On A Farm, Name Something You Expect Them To Be Better At",Milking Cows,Riding Horses,Gardening,Cooking
Name Something A Radio DJ Might Accidentally Do If He Didn’t Know He Was On The Air.,Swear,Burp,Lose Temper,Cough
Name Something That Chili May Come With Or Without.,Beans,Cheese,Meat,Crackers
Name A Word Or Phrase Used To Describe Milk That’s Past Its Expiration Date.,Sour,Old,Rotten,Curdled
Name Something You Close At Nighttime.,Bedroom Doors,Eyes,Window,Curtains
Name Something About A Person That Might Be Described As Funky,Hair,Smell,Clothes,Dancing
Name a Phrase That Begins With The Word “Double.”,Trouble,Jeopardy,Dutch,Dare
Name Some Activities People Do On Christmas That They Don’t Do On Other Holidays?,Exchange Gifts,Sing,Go To Church,Decorate
What’s The Messiest Thing To Clean Up After The Christmas Holiday?,Kitchen,Tree,Wrapping Paper,Decorations
"If You Could Only Pack A Small Overnight Bag, What Specific Essentials Would Be In It?",Toothbrush/Paste,Underwear,Make up,Deoderant
Name A Diet Method That Doesn’t Seem Very Reliable.,No Carb Diet,Fasting,Diet Pills,Diet Shakes
Name Something That Smells Really Bad When On Fire,Hair,Plastic,Rubber,Dinner
Name Something A Woman Calls A Party’s Host To Ask,What Time,What To Wear,What To Bring,Directions
Where Do You Need To Be A Member In Order To Enter?,Gym,Country Club,Golf Course,Discount Grocery
What Activity Don’t You Start Doing Until The Water Gets Warm?,Bathing,Swimming,Cooking,Dishes
Name An Animal That You Can Ride At The Circus,Elephant,Horse,Camel,Donkey
"Other Than Looking Up Numbers, Name Something A Phone Book Gets Used For",Find Addresses,Booster Seat,Maps,Door Stop
Name A Talk Show Host Who Many People Respect,Oprah Winfrey,Jay Leno,David Letterman,Dr Phil
"Besides Dancing, Name Something People Do On The Dance Floor",Talk,Sing,Kiss,Drink
"If You Got To Be Fearless For One Day, Name The First Thing You’d Try",Sky Diving,Fly,Bungee Jumping,Driving A Race Car
Name A Place That Closes Early For A Person To Run Errands After Work.,Bank,Post Office,Market,Dry Cleaners
Name A Part Of Your Body That Feels Stuffed UP When You Have A Cold.,Nose,Head,Chest,Ears
Name A Wedding Gift That The Bride And Groom Can Never Have Too Much Of,Money,Towels,Dishes,Eating Utensils
Name Something That Would Be Very Messy If You Put It In The Microwave Uncovered,Pasta,Soup,Chili,Eggs
Name A Reason Why A Woman Calls Her Husband While He’s Out.,Check On Him,Pick Something up,He’s Late,Emergency/Sick
Tell Me Something About Santa Clause That Would Give You The Creeps If You’d Never Heard Of Him.,Long Beard,Comes Down Chimney,Sitting On His Lap,Employs Elves
Why Might Someone Ride Their Bike To Work?,No Car,Exercise,Save Gas,Environment
Name Something You’d Need If You Wanted To Dress As A Vampire For Halloween.,Fangs,Cape,White Makeup,Fake Blood
Tell Me Something About Summer That You Look Forward To Most,Swimming/ Beach,Warm Weather,More Sun,Family Vacation
Name A Place Where School Children Often Go For Field Trips.,Zoo,Museum,Park,Farm
What Is The Most Fun Thing A Farmer Gets To Ride On?,Tractor,Horse,Bull,Farm Truck
"If You Were Stranded With Other People On An Island, Which Useful Occupations Would You Want Them To Have?",Doctor,Carpentry,Cook,Farmer
Name Something That Could Keep A Family Apart On Christmas,Weather,Distance,Work,Fighting
How Can You Tell That The Person In The Car Next To You Is Listening To Music?,Lips Moving,Head Bobbing,Hear It,Fingers Tapping
What Might A Restaurant Have Inside It That Would Cause It To Be Closed Down,Bugs,Rodents,Mold,Fire
Name a Hobby That Would Be Ironic For A Firefighter To Have.,Smoking,Camping/Campfire,Fireworks,Fire Eating
Name A Bad Job For Someone Who’s Afraid Of Heights,Window Washer,Pilot/Flight Attendant,Construction Worker,Firefighter
Name Something People Might Stock Up On Before A Huge Snowstorm,Non Perishable Food,Water,Batteries,Firewood
From What Activity Is A Man Most Likely To Be Late Getting Home From?,Work,Go To Bar,Golf,Fishing
Name Something People Put In The Envelope With Their Holiday Cards.,Money,Pictures,Gift Cards,Form Letter
"Name Something You Never Cook At Home, But Order When Eating At The Restaurant",Lobster,Steak,Fish,French Fries
Name A Specific Junk Food That You’d Never Want To Give Up,Chocolate/ Candy,Chips,Pizza,French Fries
"On A Road Trip, Name Something That Might Keep You Awake",Radio,Traffic,Engine,Friend Snoring
Name A Kind Of Tree That Would Look Silly To Have As A Christmas Tree.,Oak Tree,Palm Tree,Maple Tree,Fruit Tree
What Might You See In Front Of The Neighbors’ House That Lets You Know They’re Moving?,Moving Truck,For Sale Sign,Boxes,Furniture
Name A Place In The House Where Only A Real TV-Lover Would Put A Television,Bathroom,Bedroom,Kitchen,Garage
Name A Good Job To Have If You Want To Get A Nice Tan,Lifeguard,Tanning Salon,Construction,Gardener
Name A Word Or Phrase That Ends In – Phobia,Arachnophobia,Agoraphobia,Claustrophobia,Germophobia
What Might An Actor Do To Make You Not See Their Movies Anymore?,Die,Make A Flop,Retire,Get Arrested
Name Something A Mom Might Tell Her Kid To Shower After Doing,Playing Outside,Playing Sports,Swimming,Getting Out Of Bed
Name Something That Happens To People When They Get Embarrassed.,Blush,Cry,Sweat,Giggle
"Like A Colored Easter Egg, Which Holiday Object Is Fun To Have When It’s Fresh, But Not Fun To Find Months Later.",Jack O’Lantern,Fruitcake,Christmas Tree,Gingerbread House
Name A Common Gag Gift At An “Over The Hill” Birthday Party.,Cane,Diapers,Black Balloons,Glasses
Name A Famous Desert,Sahara,Mojave,Death Valley,Gobi
"Name A Quality That’s Important In A Friend, and Even More Important In A Spouse.",Trustworthiness,Sense Of Humor,Kindness,Good Communicator
"Without The Uniform, How Can You Tell That Someone Is In The Mlitary",Haircut,Confident Walk,Badge,Good Posture
Name A Special Occasion For Which Someone Might Go To A Hairdresser,Wedding,Prom,Birthday Party,Graduation
Name A Part Of The Body That Gets Mentioned A Lot In Romantic Songs,Lips,Heart,Eyes,Hair
Tell Me Something You Hate To Wear Too Short.,Skirt/Dress,Pants,Shorts,Hair
Name Something Most Parents Would Let Their Teen Experiment With,Driving,Make Up,Dating,Hairstyle
Name Something You Do To Get Rid Of A Song That’s Stuck In Your Head.,Sing/Hum It Through,Think Of Other Songs,Go To Sleep,Have A Conversation
Name Something An Elevator Operator Probably Gets Tired Of Saying,Which Floor?,Going Up?,Hello,Have A Nice Day
Name Something People Write About In Their Yearly Christmas Letter To Loved Ones.,Family,Greetings,Career,Health
What Do People Pay To Have Guessed At The Carnival?,Weight,Age,Future,Height
"Instead Of A Schoolbus, How Might A Wealthy Kid Get To School?",Limo,Their Own Car,Taxi,Helicopter
Name Something Naughty That Children Do While At The Store,Steal,Cry/Scream,Run Off,Hide
Name A Situation In Which Someone Might Get Crowned.,Prom,Coronation,Beauty Pageant,Homecoming
"Name A Word Grooms Say They’ll Do At The Alter, But Probably Never Say After The Wedding",Obey,Love,Cherish,Honor
"What Do Some People Look To For Relationship Guidance, That You Don’t Believe In?",Therapist,Psychic,Books,Horoscope
Name Something A Woman Might Stop Maintaining Once She’s In A Serious Relationship,Weight,Looks,Friendships,House
"Name A TV Show, Past Or Present, That Takes Place In A Hospital",ER,General Hospital,Grey’s Anatomy,House
Name Something People Pose In Front Of For Their Christmas Photos.,Tree,Fireplace,Santa Claus,House
What’s The First Thing You’re Likely To Be Asked About At Your High School Reunion?,What Do You Do?,Married?,Have Any Kids?,How Are You?
"In The Grocery Store, How Can You Identify A Penny-Pincher?",Bring Coupons,Carry A Calculator,Buy Generic Brands,How They Dress
"While At The Wedding, Name Away You Can Tell That The Marriage Won’t Last",Fights At Wedding,Bride/ Groom Flirting,Crying/ Sad Faces,How They Kiss
Name A Muscular Celebrity Who Would Probably Have Trouble Finding Clothes In His Size.,Arnold Schwarzenegger,The Rock,Vin Diesel,Hulk Hogan
Name A Way You Can Tell Someone Is A Doctor By Just Looking At Them.,Stethoscope,White Coat,Scrubs,ID Photo
Name Something A Doctor Better Not Be Afraid Of,Blood,Needles,people,Illness/ Germs
Name An Article Of Clothing That You’d Only Try On In Front Of Someone With Whom You’re Very Comfortable.,Bra,Underwear,Bathing Suit,Jeans
"Other Than Teeth, Name Something People Use A Toothbrush To Clean",Shoes,Toilet,Floor,Jewelry
Name Something That Comes In A Carton,Milk,Eggs,Cigarettes,Juice
"Name Something A Hollywood Stunt Person Gets Paid To Do, But Your Teen Would Get Punished For Doing.",Crashing The Car,Speeding,Fighting,Jumping Off Roof
Name Something A Divorced Person Might Do With Their Wedding Ring,Sell It,Throw It Away,Give It Back,Keep It
What Do Parents Instruct Their Children To Do While Riding In The Car?,Be Quiet,Buckle Up,Sit Down,Keep Still
"If There Was A School For Training Rock Stars, Who Might Be The Principal?",Ozzy Osbourne,Mick Jagger,Gene Simmons,Kid Rock
Name Something You Might Climb A Tree To Get,Cat,Fruit,Ball,Kite
Which Magic Trick Would Become Dangerous If The Magician Was A Phony?,Person Cut In Half,Sword Swallow,Disappearing Act,Knife Throwing
Name A Way To Tell If You Neighbors Are Home.,Lights On,Car In Driveway,Noice,Knock On Door
Name A Meal That Someone Who Loves Cheese Would Eat Often,Pizza,Mac And Cheese,Grilled Cheese,Lasagna
Name A Food That You Often Burn Your Tongue While Eating.,Soup,Pizza,Chili,Lasagna/Pasta
What Everyday Activity Burns The Most Calories?,Walking/ Running,Cleaning,Intercourse,Laughing
What Domestic Activity Would You Be Surprised To Find Mrs. Claus Couldn’t Do?,Cook,Sew,Clean,Laundry
Where In Your House Might You Find Something Labeled Poisonous?,Under Kitchen Sink,Garage,Medicine Cabinet,Laundry Room
Name Something You Look Forward To Getting In The Mail.,Paycheck,Package,Birthday Cards,Letters
Name Something From Your Ex That You Might Get Rid Of When Starting A New Relationship.,Pictures,Jewelry,Their Clothes,Letters
"Other Than Matches, Name Something People Use To Start A Fire.",Lighter,Sticks,Flint,Lighter Fluid
Name A Weather Condition That Might Cause You To Have Wacky Hair,Rain,Wind,Humidity,Lightning
What Do You See In The Mall That Lets You Know Christmas Is Coming?,Santa Claus,Decorations,Pine Tree,Lights
How Can You Tell That The Person Who Shares Your Room Is Having Trouble Sleeping?,Tossing And Turning,Talking,Watching TV,Lights On
Name A Game In Which Small Children Have An Advantage Over Adults,Hide And Seek,Tag,Twister,Limbo
Name A Phrase That’s Said In Commercials To Get You To Buy The Product Right Away.,Free Gift,Call Now,On Sale,Limited Time Offer
What Would Santa Hate To Forget On Christmas Eve?,Presents,Reindeer,Sleigh,List
Name A Crime That Most Cops Have Probably Committed Themselves.,Speeding,Stealing,Jaywalking,Littering
What Might A Poker Player Do To Make Bluffing Easier?,Wear Sunglasses,Kepp A Straight Face,Drink,Look Away
What Might Authorities Ask To See When You’re Crossing An International Border?,Passport,ID/License,Birth Certificate,Luggage
"If You Met The Real Life Prince Charming, How Would You Know It Was Him?",Wears A Crown,Rides White Horse,Good Looking,Magical Kiss
Name An Occupation In Which You’d Need To Wear Comfortable Shoes.,Doctor/Nurse,Food Service,Teacher,Mail Carrier
Name A Part Of Your Morning Ritual That It’s Hard To Get The Energy To Do.,Shower,Get Out Of Bed,Exercise,Make Breakfast
Name A Food That You Might Need Help Removing The Lid From,Pickles,Jelly,Peanut Butter,Mayonnaise
Name The Electronic Device That You Use Most In A Day,Cell Phone,Computer,TV,Microwave
Name Something In Your House That Has Numbers On It.,Phone,Clock,TV/Remote,Microwave
Name Something Many People Probably Lie About In Their Personal Ads,Age,Weight,Appearance,Money
Name A Type Of Candy That Sounds Like Something You’d Dig Up From The Ground,Gummy Worms,Rock Candy,Pop Rocks,Mounds
Name A Direction You’re Given When Having A Group Photo Taken.,Smile,Say Cheese,Move Left/Right,Move Closer
Name Something That Action Movie Stars Always Jump Off Of.,Buildings,Bridge,Cliff,Moving Cars
How Can You Tell That A TV Show Is Old Time?,Black And White,Clothes,Old Cars,Music
Name A Party Game That You’D Be Surprised To See At An Adult’S Birthday,Pin The Tailâ€¦,Twister,Spin The Bottle,Musical Chairs
Name A Fictional Character Who Makes Spy Work Look Like A Lot Of Fun.,Inspector Gadget,Sherlock Holmes,James Bond,Nancy Drew
What Ailment Might You Have The Morning After A Wild Party?,Hangover,Headache,Sore Dancing Legs,Nausea
Name A City That Is Best Known For Its Nightlife,New York,Las Vegas,Los Angeles,New Orleans
We Asked 100 Wives: What Does Your Husband See On TV That Guarantees He’ll Stop Flipping Channels?,Sports,Beautiful Women,Cars,News
Name Something Of Your That The Dog Likes To Play With.,Shoes,Socks,Ball,Newspaper
Name Something An Astronaut Has To Go Without When Traveling In Space,Decent Food,Family,Gravity,Normal Bathroom
Name Something You Hope A Restaurant Chef Didn’t Do Before Cooking Your Meal.,Got Sick,Drink,Smoke,Not Wash Hands
Name A Place Where You Often Find An Elevator.,Hotel,Mall,Hospital,Office Building
Name A Style Of Music That You’d Be Surprised To Hear That A Teenager Listened To.,Classical,Country,Jazz,Opera
Tell Me An Excuse For Not Going To Work That No One Really Believes,Sick,Car Trouble,Traffic,Overslept
What Diaper Bag Item Would A Parent Hate To Be Without?,Diapers,Wipes,Bottle,Pacifier
We Asked 100 Married Women: Name Something You Wish Your Husband Would Be More Helpful With Around The House,Dishes,Laundry,Cooking,Parenting
Name A Way That You Can Track Down An Old Friend,Internet,Phone Book,Friends,Parents
Name A Place Where A Teenager Wouldn’t Want To Be Seen With Their Parent.,Mall,School,Movie Theatre,Party
Name A Fruit That Can Get Bruised,Apple,Peach,Bananas,Pear
Name Something A School Wastebasket Is Probably Full Of.,Paper,Gum,Food Wrappers,Pencil Shavings
Name An Object Considered To Be Good Luck,Four Leaf Clover,Rabbit’s Foot,Horseshoe,Penny
Name The Worst Job For Someone With Allergies.,Gardener/Landscaper,Veterinarian,Florist,Pet Groomer
Name Something A Parent Might Limit Their Child’s Time Using,TV,Computer,Video Games,Phone
Name A Piece Of Information That’s On Every Menu,Prices,Names of Dishes,Name Of Business,Phone Number/ Address
"Where, Specifically, Would You Most Hate To Find Ants?",Kitchen,Bed,Pants,Picnic
Name A Reason Why You’d Get A Blindfold.,Surprise Party,Pin Tail On Donkey,Kidnapped,Pinata
Name A Meal That Most People Can Make Without A Recipe,Eggs,Spaghetti,Mac And Cheese,Pizza
Name A Profession That Someone May lie About Having Just To Impress A Guy or Girl.,Doctor,Lawyer,Actor,Police Officer
Name An Occupation In Which You Might Be Able To Get Away With Breaking The Law.,Police Officer,Lawyer,Judge,Politician
What Might Happen To Cause A Rock Concert To End Abruptly?,Violence,Bad Weather,Fire,Power Outage
Which Word Or Phrase Is Often Used As A Magician’s Magic Word(s)?,Abra Cadabra,Hocus Pocus,Alla Kazam,Presto
Name A Job Where You Get To Play With Dolls All Day.,Toy Store,Toy Maker,Child Care,Puppeteer
Name Something A Woman Would Hate To Have The Same As Someone Else,Outfit,Man,Hairstyle,Purse
Name An Animal That Sleeps During The Day And Stays Up At Night.,Bat,Owl,Cat,Raccoon
Name Something You’d Hate To Have Happen If You Went Up In A Hot Air Balloon.,Fall Out,Pops,Collision,Rains
Name Something That Builds A Nest,Bird,Snakes,Bee,Rat
"If You’re Driving In The Middle Of No Where, What Animal Might You See Crossing The Street?",Deer,Cow,Moose,Rat
Name An Animal That’s Not Loved By Many People,Snake,Bear,Shark,Rat
Name Something That You Often Have A Hard Time Concentrating On.,Work,Tests,Schoolwork,Reading
Name A Color Some Men Never Wear,Pink,Purple,Yellow,Red
Name Something Santa Might Bring With Him To Keep From Getting Lost On Christmas Eve.,Map,GPS,Compass,Reindeer
Name Something A Politician Does When Scandalous News Breaks Out About Them.,Lie/Deny It,Go Into Hiding,Apology/Press Conference,Resign
Name Something That Can Cause A Flat Tire.,Nail,Glass Shard,Pin,Rocks
Name A Sport That You Wouldn’t Play Without Protective Equipment,Football,Hockey,Baseball,Rugby
Why Might A Door-To-Door Salesperson Skip A Particular House?,Barking Dog,No One’s Home,No Soliciting Sign,Run Down House
"Name Something You Include On A Letter, But Not On An E-Mail.",Stamp,Signature,Address,Salutation/ Greeting
Name Something You Imagine You’d See All Over If You Went To Australia,Kangaroos,Ocean,Koalas,Sand Beaches
Name A Cartoon Pet That’s Smarter Than Its Owner.,Garfield,Snoopy,Dino,Scooby Doo
Name A Famous Sight That Tourists Take An Elevator Up To See,Empire State Bldg.,Eiffel Tower,Statue Of Liberty,Sears Tower
Name An Activity That’d Be Hard To Do By CandleLight,Read,Cook,Write,Sew
Name An Article Of Clothing That Usually Can’t Be Put In The Dryer,Sweater,Bra,Coat,Shoes
Name An Expense From A Business Trip That Your Employer Probably Wouldn’t Reimburse,Fancy Meals,Alcohol,Entertainment,Shopping
"Instead Of Their First Name, What Might A Parent Shout When Calling For Their Child?",Whole Name,Nickname,Hey,Sibling’s Name
"After Having Kids, Name Something That Happens That Interrupts A Couple’s Alone Time At Night.",Crying Baby,Nightmares,Feeding Times,Sick Kid
What Might You Bring To The Stadium If You Wanted To Be Featured On The Jumbo Tron Screen.,Sign,Foam Finger,Attractive Woman,Silly Hat
Name A Type Of Contest You Might Enter At A County Fair,Eating,Cooking,Beauty,Singing
How Many Weeks In Advance Do You Decorate For Christmas?,Four Weeks,Three Weeks,Two Weeks,Six Weeks
Name Something About A Cartoon Character That Might Be Brightly Colored,Clothes,Hair,Eyes,Skin
What Do People Do More On The 4th Of July Than On The 5th Of July?,Drink,Fireworks,Eat,Sleep
Name An Animal That A Pirate Would Most Likely Have On His Ship.,Parrot,Minkey,Dog,Snake
Name Something You Can Build With Snow,Snowman,Igloo,Snow Fort,Snowball
Name Something Husbands Will Admit That They Borrow From Their Wives,Money,Car,Razor,Socks
"Unlike Coffee, Name A Beverage That You Could Never Make Money Off Selling By The Cup.",Water,Milk,Lemonade,Soda
Name A Word That Polite People Use Often.,Please,Thanks,Pardon/Excure Me,Sorry
Name Something About Love That Some People Believe In and Others Don’t,Love At First Sight,Endless,Fate,Soul Mates
Name Something People In The 1950’s Thought We Would Have By The Year 2000,Flying Cars,Time Travel,Robots,Spaceships
Name A Type Of Photo That Most People Donâ€™T Smile In,Passport,Mug Shot,Driver’s License,Sports Photo
Which Food That Gets Stuck In You Teeth Should Be Avoided On A Date?,Corn,Spinach,Popcorn,Steak
Name Something You Would Need To Eat A Steak.,Knife,Fork,Teeth,Steak Sauce
Name Something You’d Find In A Punk Rocker’s Bedroom,Guitar,Posters,Hair Gel,Stereo
Name A Trait That’s Essential For A High School Teacher To Have,Patience,Intelligence,Friendly Personality,Strictness
"If A Person Doesn’t Cook Well, Which Thanksgiving Food Might They Buy Instead Of Bake?",Turkey,Pumpkin Pie,Cake,Stuffing
"Name A Reason, Other Than Hard Work, That Your Boss Would Give You A Raise",Dating The Boss,On Time/ Attendance,Blackmail,Sucking Up
"Name Something Your Teen Likes To Wear, But You Hope He’ll Leave Home On Picture Day.",Baseball Cap,Piercing,Makeup,Sunglasses
"Name Something Humans Wear, But Cats Look Silly In",Hats,Shoes,Glasses,Sweater
"Name An Article Of Clothing Your Husband Often Receives At The Holidays, But Rarely Wants",Tie,Socks,Underwear,Sweater
"Other Than Letter And Punctuation Keys, Which Computer Key Would You Not Want To type A Report Without?",Enter,Space Bar,Backspace,Tab Key
Name Something A Doctor Might Ask A Patient To Do During A Checkup.,Undress,Cough,Open Wide,Take A Big Breath
We Asked 100 Men: Name Something Your Partner Will Never Do As Well as Mom.,Cook,Clean,Laundry,Take Care Of Me
Name Something A Child Does To Prove They’re Too Sick For School.,Cough,Vomit,Cry,Take Temperature
Name Something In Your Daily Routine You Could Still Do Even If You’re Wearing a Strait Jacket.,Eat,Sleeping,Watch TV,Talk
What Might Your Co-Worker Do To Let You Know She Is Very Excited About Christmas?,Decorate,Sing Carols,Dress Up,Talk About It
"If You Sent A Postcard From China, What Would Be Pictured On The Front?",Great Wall,Panda,Dragon,Temple
"Name Something You Say At The End Of A Date, Even If You Don’t Mean It.",I Love You,I Had A Good Time,I’ll Call You,Thank You
What Sticks In Your Head Most From An Irritating But Memorable Commercial.,Song,Character/ Voice,Slogan,The Product
Name A Reason Somebody Would Wear A Hat All The Time,Balding,Bad Hair Day,Protect From The Sun,They’re Cold
Name A Reason People Might Put Lawnchairs On The Sidewalk,Parade,Sunbathing,Yard Sale,Throwing Them Out
"Before You See Any Fighting, How Do You Know You’re Watching A Kung Fu Movie?",Actors,Subtitles,Music,Title
Name Somewhere That Parents Can’t Wait For Their Kids To Go,To School,To Bed,To A Friend’s House,To Summer Camp
Tell Me Something That Waddles,Duck,Penguin,Pregnant Woman,Toddler
Name A Reason Why A Workplace Might Not Have Their Annual Christmas Party.,Budget Cuts,Bad Weather,Going Under,Too Busy
Name An Annoying Thing About Pigeons,Droppings,Unsanitary,Noisy,Too Many Of Them
Name A Reason Why Someone Might Hold Off On Getting Married.,Afraid of Commitment,Not Ready,Saving Money,Too Young
Name A Character Famous For Selling Cereal.,Tony The Tiger,Cap’n Crunch,Trix Rabbit,Toucan Sam
Name Something That Couples Often Get More Than One Of As Wedding Presents.,Toaster,Blender,Dishes,Towels
Name Something You Hope That You’re Still Doing When You’re 80,Walking/ Running,Active Love Life,Driving,Traveling
Name Something You Bring To A Tailgate Party,Beer,Food,Grill,Truck
"Name Something Kids Often Ask For Before Bed, That Their Parents Refuse",Drink,Snack,Another Story,TV/ Movies
Name An Article Of Clothing That Many Men Think Women Look Attractive In,Dress,Mini Skirt,Swimsuit,Underclothes
